Pregunta científica,Contraste,Figura o tabla,Observación,Interpretación defendible,Limitación,Estado
¿Qué acredita M?,Expertise por cliente y clase,tables/expertise_cells.csv; figures/expertise_*,54/54 condiciones verificadas,Acredita accuracy condicional de clase con los umbrales fijados,La evidencia seleccionada no valida independientemente generalización ni rechazo OOD,cerrado
Selección,ORACLE-logit − FedDF-logit,tables/selection_logit_paired.csv; figures/selection_logit_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
Operador FedDF,FedDF-prob − FedDF-logit,tables/feddf_pooling_paired.csv; figures/feddf_pooling_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
Operador ORACLE,ORACLE-prob − ORACLE-logit,tables/oracle_pooling_paired.csv; figures/oracle_pooling_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
Expertise,EXPERT-prob − FedDF-prob,tables/expertise_gain_paired.csv; figures/expertise_gain_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
Gap ORACLE,ORACLE-prob − EXPERT-prob,tables/oracle_expertise_gap_paired.csv; figures/oracle_expertise_gap_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
Soporte,EXPERT-prob-SR − EXPERT-prob,tables/support_paired.csv; figures/support_student_test_accuracy.png,"54 pares; accuracy y NLL, media y SD por dataset/régimen",Comparación del procedimiento bajo receta y fuentes compartidas,Tres seeds; ORACLE no es cota garantizada; SR no demuestra destrucción de dark knowledge,cerrado
¿Qué añade el conocimiento privado frente a etiquetas públicas?,"EXPERT-prob − CE, N=10000",tables/private_knowledge_summary.csv; figures/private_knowledge_*,54/54 pares; 9/9 CE únicos,Cuantifica la diferencia del sistema KD frente a CE con el mismo proxy etiquetado,Solo N=10000; también cambia el objetivo CE/KD; CE reutilizado no crea nuevas réplicas,cerrado
¿Cómo cambia KD−CE con N?,"CIFAR, IID/alpha0p1/single; 1200 updates",tables/proxy_budget_completeness.csv; tables/proxy_curve_summary.csv; figures/curve_*,"60/60 ejecuciones, 45/45 pares",Se describen únicamente tamaños y seeds observados,Huecos no son ceros; seeds distintas no definen medias comparables; cruce no es óptimo,cerrado
¿Aportan otros controles?,"EXPERT-logit, Confidence, Consensus, Energy",tables/contrast_summary.csv; tables/*_excluded.csv,"Se conservan ejecuciones adicionales verificadas del respaldo, sin contarlas como baseline nuevo",Contrastes adicionales solo en condiciones emparejadas,Su incompletitud no impide cerrar el diseño principal de seis métodos,provisional
